vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,Adult,???,Noun,???????????????,This is the adult price.,??????????,There are only three adults.,??????????????,The adults went to an izakaya.,"This kanji combines big and person. If you're a child, how do you think of adults? You just think of them like big people. That's why this combination of kanji means adult.","""I'm an adult, which means I have adult responsibilities. Oh, Toner (???)? I need some of that for my terrible printer..."" ... now feel so sad you have such a terrible printer that runs out of toner every day. Ohhhh Toner!","?, ?","Big, Person",,,45,level1 vocab
??,"Alone, One Person",???,Noun,??????????????,I went to karaoke alone.,???????????,One of them is American.,??????????????????????????,My daughter did the errands by herself for the first time today.,"When there's one person, what are they? Well, they're either just going to be simply one person or alone.","The reading for this vocab doesn't follow any rules you learned previously. It's an exception, which means you have to learn the reading separately too. Spend a few moments trying to remember this word, look away for 10 seconds, and then try to recall its reading. Could you do it? Try again, this time in thirty seconds. Did you do it again? Okay, go ahead and move on. You may know it now, though you'll need to recall it again in the next 5-10 minutes if you want to remember it for good. Alternatively, if you know the reading for the vocab word ?? (in the same level as this word), you can know that it uses the same reading!","?, ?","One, Person",,,46,level1 vocab
??,"Artificial, Man Made, Human Made",????,Noun and ? adjective,????????????????????????,Is your brain really artificial?,????????????,This river is man-made.,????????????????,I put artificial turf in the garden.,"A person of industry makes a lot of things by hand, so everything they make is artificial, and also means it's man made.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Person, Construction",,,47,level1 vocab
???,"Big, Large",????,? adjective,?????????????,This hat is too big.,???????????????,Can I get those two big peaches?,?????????????????????????,My baby is about as big as a calf.,"This is the adjective form of big. It has the same meaning, though it is a word for describing. Words that end with ? are often adjectives, remember that for future words as well. So, as long as you know the meaning of this kanji, you can transfer that to the meaning of this word. It's the adjective big / large.","What do you do when you see something really, really big? You say ?? because you can't believe your eyes. Imagine something really large and say ?? out loud to help seal the memory in that brain of yours.",?,Big,,,48,level1 vocab
?,"Down, Below, Under, Beneath",??,Noun,????????????????,What’s under the desk?,????????????,Please come down.,???Tofugu????????????????,I live on the floor below the Tofugu office.,"When a vocab is a single kanji with no okurigana (that's hiragana attached to the kanji) it tends to steal the meaning of the kanji it comes from. So, this one is below or down.","When a vocab is a single kanji and is alone it tends to use the kun'yomi reading. You learned the on'yomi reading for this kanji, so now it's time to learn the kun'yomi reading to learn this vocabulary word. What's below you? What's below your foot? Oh no. The worst thing possible: It's ??.",?,Below,,,49,level1 vocab
?,Eight,??,Numeral,???????????????????????????,Students will study page eight at home today.,???????????????,I put eight candies in my purse.,????????????,Eight o’clock? Are you sure it’s eight o’clock?,When a vocab is a single kanji it usually steals its meaning from its kanji as well. Same goes for this vocab word. It means eight.,"When a vocab is a single kanji and all alone like this, it's usually going to use the kun'yomi. But, because this is a number (exception) it uses the on'yomi instead, meaning you already know the reading from when you learned the kanji!",?,Eight,,,50,level1 vocab
??,Eight Things,???,Numeral,?????????????????????,There are eight potatoes in a bag.,???????????,There are only eight of them.,??????????????????????,What has eight faces and six arms?,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for eight plus ?. So, this one is eight things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So what eight things do you have? You have eight yachts (???). Go ahead and count them. They're beautiful. Also, be sure not to be confused by this particular reading mnemonic. It includes the ?, even though the ? is outside the reading you need to learn (just makes things easier for you overall). Since you can see the ? outside, it shouldn't be too difficult for you.",?,Eight,,,51,level1 vocab
???,Entrance,????,Noun,???????????????,I will wait for you at the entrance.,???????????,There are three entrances.,????????????????,Johnny Depp is at the entrance.,A mouth that you enter is an entrance.,"Because there's some okurigana (hiragana attached to the kanji) attached, you can bet that ?? will be a kun'yomi reading. This reading comes from the word ???. If you know that word already, this one will be easy. If not, then you'll have to think that the entrance you're going in is eerie (??). Then, because this word is really two separate words put together to form one word, you can guess that ? also uses the kun'yomi reading, though the ? in ?? changes to ? due to something called rendaku. Just remember that it's ?? and not ?? here.","?, ?","Enter, Mouth",,,52,level1 vocab
???,"Great, Considerable, Important, Big Deal",????,Adjective,????????????,It’s not a big deal.,???????????,She is such a great woman.,????????????????????????,Being the president of McDonald’s would be a big deal.,"?? is the past tense form of ?? (which means ""to do""). So, essentially this word is ""did big."" What is something that ""did big""? It's something that's great or considerable.","The reading for the ? part is actually the on'yomi reading you learned when learning its kanji. So, as long as you remember that (and remember to use that reading), you can read this word as well. ??? = ????.",?,Big,,,53,level1 vocab
?,Mountain,??,Noun,???????????????????,I'll climb a mountain with my friends.,????????????????????,This is the world's biggest man-made mountain.,?????????????????????????,"At 8 am, let’s meet naked on Bald Mountain.",A vocab made of a single kanji all alone with no okurigana (hiragana attached to the kanji) usually has the same exact meaning as the kanji it's made from. So by that you know that this vocab's meaning is mountain.,"When a vocab is a single kanji all alone with no okurigana (hiragana attached to the kanji) it's usually going to be the kun'yomi reading, which you didn't learn when you learned the kanji. To remember this word's reading we'll use a mnemonic. What are you doing going up into the mountains? You're hunting for yams (??). Go ahead, imagine yourself doing just that, climbing up the mountain (it's hard work!) and then digging in the ground with your hands, then pulling up that sweet, delicious yam! Mmm!",?,Mountain,,,54,level1 vocab
?,Mouth,??,Noun,??????????????,There is some sauce on your mouth.,?????????????,Please put this in your mouth.,??????????????,I haven’t been able to close my mouth since yesterday.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to have the same meaning as the kanji it came from. From that, you know this word's meaning is mouth.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to use the kun'yomi reading, which you did not learn from learning the kanji. To remember this word, you should use a mnemonic. With your mouth, make a ""kuchi kuchi kou"" (??) sound. Go ahead, make it. Focus on your mouth and try to imagine each shape it makes while zooming in on it. You're talking to a baby, which is why you're making all these ridiculous noises. Also, instead of ""coo"" at the end, you're saying ""kou,"" because that's the reading of the kanji (??). ??????!??????! Sounds like something from Arrested Development, actually.",?,Mouth,,,55,level1 vocab
???,"Mt Fuji, Mount Fuji, Mt. Fuji",????,Proper noun,???????????????????????,I want to arrive at Mt. Fuji by around 11 a.m.,????????????????????????????????????????????,"There are always three adult French people, two small Americans, and one Canadian on Mt. Fuji.",?????????????????????,Mt. Fuji was covered in white bird poop.,"Just look at this word. What do you think it means? That's right - it's a name (Fuji) plus the kanji for mountain. Put those together, and you have Mount Fuji. In English the ""Mount(ain)"" part comes first. In Japanese, it comes at the end, sort of like the name ender ??, ???, and so on. You can add ? to the end of any mountain's name too, not just Mount Fuji.","Normally ?? would be in kanji, but I wanted you to see this kanji use in action since it's more useful than just being used on Mount Fuji. This is treated like a jukugo word (combo kanji word). In the case of jukugo, usually the on'yomi reading is used, meaning you just have to remember the on'yomi reading of ?. Luckily, you learned this when you were learning the kanji, so you should already know it!",?,Mountain,,,56,level1 vocab
?,Nine,"???, ?",Numeral,????????????????????,I study for about nine hours every day.,??????????????,Please open the page 9.,??????????????????,I used to have nine mynah birds.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word ?, as well. It has the same meaning as its kanji counterpart.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Numbers are the exception, as you might already know. When they're alone with no okurigana they're the on'yomi reading, which you should already know from learning the kanji that makes up this word.",?,Nine,,,57,level1 vocab
??,Nine Things,????,Numeral,?????????????????????????????,There are nine questions that require a dictionary on today’s test.,????????????????????,Is it true that a cat has nine lives?,????????????,I made nine donuts.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus ?. So, this one is nine things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have nine of? The nine things that you have are nine coconuts (???). Imagine yourself juggling nine coconuts in the air. Try counting them while you're doing this, arriving at nine things.",?,Nine,,,58,level1 vocab
?,One,??,Numeral,??????????,Let’s meet up once.,????????????,First place was an American.,??????????????,I’m the weakest man in the world.,"As is the case with most vocab words that consist of a single kanji, this vocab word has the same meaning as the kanji it parallels, which is one.","When a vocab word is all alone and has no okurigana (hiragana attached to kanji) connected to it, it usually uses the kun'yomi reading. Numbers are an exception, however. When a number is all alone, with no kanji or okurigana, it is going to be the on'yomi reading, which you learned with the kanji. Just remember this exception for alone numbers and you'll be able to read future number-related vocab to come.",?,One,,,59,level1 vocab
??,One Thing,???,Numeral,????????????,Choose one answer.,?????????????,It's limited to one per customer.,???????????????,I met a one-eyed goblin yesterday.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for one plus ?. So, this one is one thing.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So, you have one thing. What one thing do you have? You have one of He-Man's Toes, aka a single He-Toe (??). So what's the thing you have only one of? You have one He-Toe. Imagine He-Man walking around with one missing toe, trying to find you so he can get it back. At least you'll be able to run faster than him now.",?,One,,,60,level1 vocab
?,Person,??,Noun,????????????????,What will the person the arrow is pointing at say?,???????????,What is that person's nationality?,?????????????????,People say he's a stupid person.,"When a vocab is a single kanji all alone, it usually has the same meaning as its kanji parent. That goes for this vocab word as well. Person is person.","When a vocab is a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Since you don't know the kun'yomi reading for this kanji yet, let's use a mnemonic to learn it. What does a person hate more than anything? They hate extreme heat (??). You can always put on more clothes to stay warm, but when the heat gets too high, you can only take off so much.",?,Person,,,61,level1 vocab
???,"Please Give Me, Please",????,Expression,?????????????????????????????,"You need a ticket here, so please go buy one.",??????????,Please give me two apples.,?????????????????,"Fugu, gently pinch me please.","You know that the kanji ? means down and that ?? sounds like the word ""sigh."" You need to ask someone for something, so you look down, sigh, and say please give me that thing. You're ashamed that you have to ask. But you still need it. Please, please give it to me! We only use this kanji version of ???? when we're asking for something, that's why it's ""please give me."" If you're just saying ""please"" you don't need the kanji at all!","The reading for this word is an exceptional reading. You just have to be able to recall the ?? part, though (since ?? is already there in the form of the hiragana). So, think about why you have to be polite to this misbehaving kid. Turns out, if you don't, he has the power to initiate a Coup d'état against you and your family, who runs the government. Just imagine yourself thinking over and over ""Okay... I have to be nice to this kid. If I don't... he'll initiate a Coup d'état... and that would ruin my family..."" You're walking on thin ice, here.",?,Below,,,62,level1 vocab
??,Population,????,Noun,???????????????,Half the population is male.,????????????????????,This village's population is only 23.,????????????????????????,Many Japanese people don’t know the population of their own town.,The amount of people with mouths (that you have to feed) is the population that you have to feed.,Both kanji in this jukugo (combo kanji) use the on'yomi readings that you've already learned! So just make sure you know those and you'll be able to read this too.,"?, ?","Person, Mouth",,,63,level1 vocab
?,"Power, Strength",???,Noun,??????????????,I’m hungry and losing strength.,????????????????????????,That American woman has the power to move Mt. Fuji.,???????????????????????????????????,My mom is more powerful than the rest of my family put together.,"When a vocab word is made up of a single kanji and that's it, it almost always takes the meaning from its parent kanji. So, this vocab word also means power.","When a vocab word is a single kanji all alone with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. You didn't learn the kun'yomi reading with the kanji, so for this vocab word, we'll use a mnemonic. The most powerful man in the world. All his power came from his cheek (???). Imagine him blowing up his cheek like a giant balloon, then unleashing his power on you. Thwap thwap thwap thwap.",?,Power,,,64,level1 vocab
?,River,??,Noun,??????????????????????,There are a lot of fish swimming in this river.,??????????????????,Japan's longest river is Shinano River.,????????????????????,"Whenever I see a river, I get so pissed off.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it will usually take the same meaning as the kanji it comes from. So, from that you know that this word means river.",You're in luck - the reading you learned with the kanji is the same as the one you have to learn for this vocab!,?,River,,,65,level1 vocab
?,Seven,"??, ??",Numeral,????????????????????,Why don’t we meet at the station at seven tomorrow morning?,???????????,There are seven mandarin oranges.,??????????????????,I want to be friends with the seven dwarves.,"When a vocab is alone with no okurigana (that's hiragana attached to a kanji) it usually has the same meaning as the kanji too. That goes for this word as well. So, if you know the kanji's meaning (seven) you'll know the vocab's meaning (seven).","Most single-kanji all-alone vocab words like this use the kun'yomi reading. Numbers are an exception to this rule. That being said, four and seven are exceptions to this exception to the rule (because the on'yomi readings sound too much like the word for ""death""). You should learn both readings for this word, though we're going to go with ?? for the main one here. You can remember that because you had seven nanas after you.",?,Seven,,,66,level1 vocab
??,Seven Things,???,Numeral,?????????????????,There are seven apples in a box.,???????????????,Just the two of us ate seven melons.,?????????????????,"After I count to seven, I will be a woman.","This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for seven plus ?. So, this one is seven things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have seven of? The seven things that you have are seven Nanas (??). These are your grandmas, cloned. Just think, ""It's lucky to have seven nanas. They can all cook my favorite foods for me!""",?,Seven,,,67,level1 vocab
???,Size,????,Noun,??????????????100??????120??????,The size of this table is 100cm in width and 120cm in length.,?????????????????,The size of the TV is 32 inches.,????·??????????????????????????,Ronald McDonald always wore different-sized shoes.,"Words that end with ? are often words that have taken the adjective form (in this case ???) of the word and turned into words that describe what the adjective form is doing, if that makes sense. So ??? (big) goes to ???, and the word that describes what ""big"" describes is the word size.","When a vocab has okurigana (hiragana attached to the kanji) it is probably going to be the kun'yomi reading. Since you learned the on'yomi reading with the kanji ?, we'll have to use a mnemonic to remember this word. When you saw the size of (pick something surprising), you said ""?? *#$@!"" Really imagine something surprising. Say the ?? part out loud, as well. Think about the size of whatever you're looking at, too, and how big it is.",?,Big,,,68,level1 vocab
?,Ten,???,Numeral,??????????????????,I have ten swallows.,??????????????,It'll be December in two days.,????????????????????,For ten years I lived with ten other people.,When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it tends to steal its meaning from the kanji it came from. That means this vocab word also means ten.,"When a vocab is alone and consists of a single kanji like this, usually it uses the kun'yomi reading for the kanji. But, numbers are an exception and they use the on'yomi reading (which you learned when you learned the kanji). That means you know that this word's reading is ??? already.",?,Ten,,,69,level1 vocab
?,Three,??,Numeral,????????????????????????,There are three pages of these questions total.,????????????,I’m 32 years old.,??????????????,Turn around three times and bark!,"When a vocab is a single kanji and alone like this, it usually steals its meaning from the parent kanji. That goes for this word too, making the meaning of this word three.","When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it usually uses its kun'yomi reading. Numbers are an exception, though, and use the on'yomi reading. You learned the on'yomi reading when you learned this kanji, so you already know that the reading for this vocab is ??.",?,Three,,,70,level1 vocab
??,"Three People, Three Persons",????,Noun,??????????????????,I have three siblings.,???????????????????,There were only two or three people in the river.,??????????????????,"Out of those three people, which one is your type?",You have the kanji for three and person. Common sense will tell you what this word is. It's three people.,This jukugo (combo kanji) word uses the on'yomi readings that you learned when you learned the kanji. That means you should know the reading as long as you know the kanji.,"?, ?","Three, Person",,,71,level1 vocab
??,Three Things,???,Numeral,????????????????????,You will hear three choices.,?????????????????,Please put three balls in here.,??????????,I got three mosquito bites.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for three plus ?. So, this one is three things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have three of? The three things that you have are actually three versions of yourself. ""Who is the real one?"" you ask yourself. ""It's me!"" ""Wait, no, it's me!"" Just remember that there are three of you, and they're all saying ""me me me me me"" to try and prove that they're the real you.",?,Three,,,72,level1 vocab
??,"To Climb, To Go Up",???,Intransitive verb and Godan verb,??????????????,I can go up to the roof.,??????????????,I climbed up stairs to the 10th floor.,???????????????,I saw a salmon swimming upstream.,"This vocab word is an exception in almost every way. It has a similar meaning to the meaning of the kanji, and you know it's a verb because it ends with an ? sound (?, in this case). But, the meaning is to climb. Comparing it to the other ? verb words, it has the least okurigana (versus ??? and ???). You could remember this and know that the thing you don't want to do the most is ""to climb,"" so that's why it has the least okurigana.","The reading for this word is an exception from all the rules of the ? vocabulary. It consists of a kanji with hiragana attached, so it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You want to climb the mountain, but a gruff old man grabs your shoulder and says ""No boy, you ain't climbing that thing, not today."" If you're not a boy, think about how weird it is that he called you a boy. If you are a grown man, think how you wish he called you ""dude"" or something, not ""boy."" If you're a boy, well... think about how appropriate it is that he said ""no boy.""",?,Above,,,73,level1 vocab
??,To Enter,???,Intransitive verb and Godan verb,??????????????????????????,Please stretch before getting in the pool.,?????????????????,Please enter from the entrance.,????????????????????!,Let’s go in the room and draw our eyebrows on!,"When a kanji ends with an ""?"" sound (like ?, for this one), it's usually going to be a verb. When the vocab is a kanji + okurigana ending in this ""?"" sound, it's often going to be the verb form of that kanji. So in this case, the kanji ? is enter. The vocab ?? is to enter. Just the verb version of the kanji.","When a vocab is a single kanji with okurigana, chances are it's going to be the kun'yomi reading, which you don't usually learn in the kanji (you usually learn the on'yomi reading). So, let's learn the kun'yomi reading for this word using its meaning. When you enter the room, what do you do? You say ""Hi"" (??) to everyone to the point of absurdity. ""Hi there. Oh hi Frank. Oh hi there Susan. Oh hi there lamp.""",?,Enter,,,74,level1 vocab
???,"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down",???,Intransitive verb and Godan verb,????????????????,Stock prices all over the world fell.,???????????????,My temperature dropped to 37?.,?????????????????????,Unfasten your belt so that your pants will hang down.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. This is an intransitive verb. That means it does not take a direct object. The kanji means below so this means something gets lower, by falling or dropping. For example: Prices get lower or fall. Squirrels come down from trees. See? No direct object here. That's why this verb means to get lower or to fall.","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to be the kun'yomi reading. Let's use a mnemonic to remember the reading of the kanji: You know it means to fall so instead of using a saw (?) to cut down the tree, you decide to let it come to you. It has to come down all by itself. Picture yourself placing a saw at the foot of a tree then sitting back and waiting for it to drop itself at your knees. (This could actually work, don't you judge my methods!)",?,Below,,,75,level1 vocab
???,"To Insert, To Put In",???,Transitive verb and Ichidan verb,?????????????,What will you put in the square?,????????????????????,Please insert twelve pieces of origami paper here.,???????????????????,I put a hamburger into the coffin.,"This is similar to the vocab word ?? (to enter), except in this case, instead of entering you're inserting something. So, it's like you're entering something into something else. You can remember that this one is to insert because it's longer than ?? (???/to enter). Why? Because it's more difficult to insert something than it is to enter somewhere, which is why you have more help (the extra kana stuck on the end).","When a vocab is a single kanji plus some okurigana (hiragana stuck on the end of kanji) it's almost always going to be the kun'yomi reading. This is one of two kun'yomi readings you'll be learning for the kanji ?. As long as you know that this vocab means to insert, you can use that to remember the reading as well. When you insert your hand into the mysterious hole, it feels cold and sticky inside. You scream: ""?!"" as an eagle flies out.",?,Enter,,,76,level1 vocab
???,"To Lower, To Hang, To Lower Something, To Hang Something",???,Transitive verb and Ichidan verb,??????????????????????,Please tell me how to lower my blood pressure.,????????????????????????,That shop has one wind chime hanging in its entrance.,??????????????????????????,I tried to perform a rain dance to lower the temperature.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means below so the verb version of that is when you put something below you. It's to lower something. This is a transitive verb. That means it takes a direct object. You lower something. Like your blood pressure!","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to be the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you: You want to lower a tree so you need a saw (?). Lower the tree to the ground gently while you slowly saw it down!",?,Below,,,77,level1 vocab
???,"To Raise, To Raise Something",???,Transitive verb and Ichidan verb,?????????????????????,Please put this box on top of the refrigerator for me.,????????????,Please raise it three centimeters.,?????????????????????,I raised my hands and let out a huge fart.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means above so the verb version of that is when you put something above you. It's to raise something. This is a transitive verb. That means it takes a direct object. You raise something. Like your hands!","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to use the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you: You want to raise an aardvark (?) above your head. Why? Because even though aardvarks have long tongues, it can't reach the ants in the trees. But when you raise the aardvark it can get at those yummy ants!",?,Above,,,78,level1 vocab
???,"To Rise, To Go Up, To Be Raised",???,Intransitive verb and Godan verb,???????????????,My fever is rising steadily.,????????????????????,Let's go up to the 3rd floor using the elevator.,??????????,Smoke is rising.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. This is an intransitive verb. That means it does not take a direct object. The kanji means above so this means something rises. For example: A fever rises. The sun rises. See? No direct object here. That's why this verb means to rise or to go up.","Since this word has okurigana (hiragana attached to the kanji) you can guess that it uses the kun'yomi reading, which also happens to be a reading you didn't learn when you learned the kanji. Let's use a mnemonic for the kun'yomi reading now, though. You have to remember at least the ? part to read it. You know that this word means to rise. Imagine something just rising on its own, like a floating tree or something. What would you say? Probably a ""surprised"" sound. Maybe you'd scream ""?!"" when you saw this floating tree.",?,Above,,,79,level1 vocab
?,Two,?,Numeral,???????????????????,We will work on question two on page twenty-one in class.,??????????????,My child is 2 years old.,?????????????????????,My uncle has two cats.,When a vocab word is a single kanji without okurigana (hiragana attached to the kanji) it usually has the same meaning as the kanji it's spawned from. If you know the kanji meaning you'll also know the vocab meaning. It's two!,"When a vocab word is a single kanji with no okurigana, it usually uses the kun'yomi reading. Numbers are an exception to this. Numbers use the on'yomi reading, which you've already learned by learning the kanji's reading! How nice!",?,Two,,,80,level1 vocab
??,"Two People, Pair, Couple, Two Persons",???,Noun,DVD??????????????,I am watching a DVD with my older sister.,?????????????????,Those two want to be a couple all the time.,??????????????????,She was arrested for double murder.,"When you have two and person and then put them together, what do you get? You get a pair or two people.","The reading for this word is quite strange. If you know ??'s reading, you can use that to remember the ? part (??). But, the ? that is the ? is a total exception, something you won't see too often (though you may have seen it in ??). If you can use the reading of ?? (aka if you've learned it already) then definitely use that. If not, do your best to remember the reading on your own. It's a strange one that doesn't connect to much else.","?, ?","Two, Person",,,81,level1 vocab
??,Two Things,???,Numeral,?????????,It’s two dialogues.,???????????????????,Please put two apples in this basket.,????????????????????????,His second evil deed was the frog’s assassination.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for two plus ?. So, this one is two things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So what thing do you have two of? The two things that you have consist of one foot and another foot (??). Remember from the on'yomi how you had two knees (for the reading ?)? Now look further down your leg at one foot then over to the other foot. Two foot!",?,Two,,,82,level1 vocab
?,"Up, Above, Over",??,"Adverb, Noun, Suffix, and ? adjective",?????????????,Please look at the chart above.,??????????????????????????,The Tofugu office is three floors up.,???????????????????????,One of your socks was at the top of the stairs.,"When a vocab word is a single kanji and alone, it tends to steal the meaning from the kanji. Same goes for this one too. It means above or up.","When a vocab word is a single kanji and doesn't have okurigana (hiragana attached to the kanji) it usually will use the kun'yomi. Since you learned the on'yomi reading of the kanji, we'll need to use a mnemonic to learn the reading of this vocabulary word. Above you is a huge weight. You're holding it up and struggling (it's heavy!). You look up and try to crane your neck to see how much it weighs (??), but you can't see the numbers on the side of it. How long can you hold it above your head like this?",?,Above,,,83,level1 vocab
?,"Woman, Female",???,Noun,???????,Who is that woman?,????????,I'm a woman.,?????????????????,I want a woman who will help look after my children.,"When a kanji is alone and doesn't have any okurigana (hiragana attached to the kanji) it's usually going to take the same meaning as the kanji it comes from. So in this case, you know that this word means woman.","When a word is a single kanji with no okurigana (hiragana attached to the kanji) it tends to use a kun'yomi reading. You didn't learn the kun'yomi reading when you learned the kanji itself, so let's use a mnemonic to remember the vocab word. There's a woman in front of you. Who is she? It's just you and her in the store, and you're staring each other down. Oh. It turns out she's the store owner (???), which is weird, because you are in a store that makes only manly things. A woman owner of a manly things store? Strange...",?,Woman,,,84,level1 vocab
?,"Again, And",??,Adverb and Prefix,?????????????????...???!,You’ve deceived me again... boohoo!,??????????????????????????????,"I'm American. And also, I'm French.",????!,Here I am again!,"As a vocab made up of a single kanji, you know that the meaning of this vocab word and the meaning of the kanji that makes it are the same: Again!",The reading you learned for the kanji is the same as the reading for this word. You won't have to learn it "again.",?,Again,,,156,level2 vocab
??,April,???,Noun,???????????????,My birthday is April ninth.,????????????????????????????,"Since cherry blossoms are in bloom in April, the prince wants to go to Japan.",??????????????????????????????????????????,My girlfriend suffered from so much stress after her parents divorced in April that she started to grow a little bit of a mustache.,"? in Japanese means ""moon"" but it also means ""month."" Why? Probably because the moon takes about a month to get through its cycles. So, what's the fourth moon of the year? Here's a hint, it's the same as the fourth month of the year: April.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. Also, this is a specific month, so it uses the ?? reading.","?, ?","Four, Moon",,,157,level2 vocab
?,Ball,??,Noun,????????????????,I played ball-toss during sports day.,???????????????,There are nine white balls here.,?????????????????????????,Have you ever seen an animal that looks like a ball of wool?,"As an alone single kanji vocab, you know that this vocab word has the same meaning as its parent kanji: Ball.",This word uses the same reading as the one you learned when learning the kanji: ??.,?,Ball,,,158,level2 vocab
?,Book,??,Noun,??????????????,Where did you buy this book?,????????????????????????????????????,The book cover that Koichi bought from a spooky French person was covered with genuine leather.,????????????????????????,"If you want to read a book here, you have to give me some gold.","This vocab word is exactly the same as its parent kanji, including its meaning as well: book. It doesn't have those other meanings though, when it's just ? alone, it's just a book.",The reading for this word is the same as the single kanji it comes from.,?,Book,,,159,level2 vocab
??,"Caucasian, White Person, White People",????,Noun and ? adjective,????????????????,I married a white man.,??????????????????????????????????????,"I am black and from Kenya, but I was raised by a white family in America.",???????????????????????,Many caucasians hate summer in Japan.,"This word uses white and person ... put those together and you have a white person, aka a caucasian person.","As a jukugo word, it follows all the rules and uses the on'yomi readings from the kanji (both of which you know from learning the kanji).","?, ?","White, Person",,,160,level2 vocab
?,"Circle, Round, Circular",??,Noun,????????????????,This is a circle painted by Picasso.,??????????????????,What's this circle drawn on the map?,????????????????????????,My black lab was shocked and his eyes bulged wide open.,This vocab word and the kanji that makes it have the same meaning: Circle.,"The reading you learned for this kanji is the kun'yomi one. Since this vocab word is made up of a single kanji, it uses the kun'yomi reading. Guess what? That means you already know it!",?,Circle,,,161,level2 vocab
