vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,"Way Of Seeing, Point Of View, Perspective, Viewpoint",???,Noun,????????????????,I don't know how to look at this chart.,?????????????????,There are various ways of seeing and understanding.,????????????????????????????????,"If you look at it from a different point of view, we could consider Tofugu to be tofu that's fugu flavor.","The way you see is the way of seeing something. This is like when someone has a dumb opinion and you're like ""oh, okay, so that's one way of seeing it...""","This word uses the readings of the kanji you've already learned, even though they're kun'yomi.","?, ?","See, Direction",,,533,level4 vocab
??,Weather,???,Noun,????????????,The weather is bad today.,????????????????,Let's check the weather forecast.,??????????????,What’s the difference between weather and climate?,"What is the heaven energy? If you think about it, that's all the stuff that falls on us from the sky. Lightning, rain, snow, hail... What is all of that? It's the weather.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Heaven, Energy",,,534,level4 vocab
??,Weekdays,????,Noun,?????????????,I have work on weekdays.,???????????????????????,"Sadly, I probably won't be able to go because it's on a weekday.",??????????????????????????????????,I am a chef but because I’m busy working on weekdays I usually don’t cook at home.,"The flat days are boring. They're the same. One day after another. That's definitely not your exciting weekends... that's your boring, flat weekdays.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. Note that ? in this one uses its ?? reading.","?, ?","Flat, Sun",,,535,level4 vocab
??,White,???,? adjective,?????????????????,There was white snow falling outside.,????????????????????????,Our black cows are more energetic than the white ones.,????????????????????????????,"A fluffy, white rabbit was hopping in the field.","This is a single kanji with an ? on the end, meaning you know it's probably an adjective. What's the adjective form of white? White, of course!","This has the same reading as the vocab ? you learned, so you already know the reading. Go you!",?,White,,,536,level4 vocab
??,"Within A Year, Within The Year",????,Noun,????????????????,It should be complete within the year.,????????10????????,"I'm aiming to reach 100,000 followers by the end of this year.",??????????????????????,The assassination must be carried out before the year is over.,The inside of a year is what happens within a year.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Year, Inside",,,537,level4 vocab
?,"World, Society, Age, Generation",?,Noun,??????????????????,This app still isn’t world famous.,??????????,The world really is coming to an end.,?????????????????????????????,"Other than assassins, nothing in this world is scarier than wasps.",The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it uses the kun'yomi reading. Here's a mnemonic to help you to remember it: Since you have generations of people making up this world, think of the rapper generation. What do they say all the time (obviously I don't know anything about rap)? They say ""Yo yo yo!"" (?).",?,World,,,538,level4 vocab
?,Year,??,Noun,?????????????????,I hope you have a happy New Year!,??????????????,"Once again, I was able to age this year without issue.",???????????????????????????,"The next year, Erika met a prince riding a white cow.",The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: This year I refuse to watch tosh.0's (??) show. It is terrible.",?,Year,,,539,level4 vocab
2011?,"Year 2011, 2011, The Year 2011",??????????,Noun,2011????????????,I went to Japan in 2011.,????2011????????????????,My husband has been working on Mars since 2011.,???2011????????????????????,My father finally admitted to drug use in 2011.,It's the 2011 year. I think the meaning is pretty obvious. This just means year 2011 or simply 2011.,"The reading is a little trickier. You start with two thousand (??/???), then you need to add eleven to it (??/?????). Then, you simply add the reading for ? which you already know. You can assume it's the on'yomi reading because it's attached to something else, like a jukugo. From there, you get the entire reading.",?,Year,,,540,level4 vocab
??,"Year Round, All Year, Whole Year, Throughout The Year, All Year Round",?????,Adverb and Noun,????????????????????,The sky in this town is dull all year.,????????????????????????????????,"Tofugu employees work twenty four seven, year round.",????????????????????????????????,It rains year round in this country and my wife complains about it year round as well.,"The year middle sounds like it should be something like ""the middle of the year,"" but it's not. Think of something that happens in the middle of the year and then all other parts of the year. It's just referring to everything within this year, which is how we get year round.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. ? does have a strange reading, though, which is ???. This is basically just ??? changing to ???, but since nobody uses ? it just switches to ? and you end up with ???. That's called rendaku.","?, ?","Year, Middle",,,541,level4 vocab
??,"Absent From School, Absence From School, School Absence, Leave Of Absence",?????,Noun and ?? verb,?????????????????,I’m taking a one year leave of absence from university.,??????????????????????????????????,"When Viet was a college student, he took a year of leave from school and went on a journey of self discovery.",??????????????????????????????????????????????????,"""Do you know why Kelly has been absent from school for the past three weeks?"" ""Yes, apparently she has a really serious case of pink eye.""","When you rest from school you are absent from school. This is only for very long absences though, not a day or a week, but months or years. Think about it like taking an extended leave of absence from school.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Rest, Study",,,612,level5 vocab
